ID,Flood depth RP 30000,Flood depth RP 3000,Flood depth RP 300,Flood depth RP 30,Flood depth RP 10,area,Property_value:income
1141203,1.48472964763641,1.17445147037506,0.773864030838013,0,0,31.0547946190522,6.88983672096323
1141224,1.14927816390991,0.853389024734497,0.475860148668289,0,0,713.91312527565,158.389225446177
1141235,0,0,0,0,0,230.28555586962,51.0913016363835
1141237,1.63675785064697,1.33986401557922,0.960978090763092,0,0,539.282641481258,119.645593919855
1141426,0,0,0,0,0,10.6966318080507,2.3731616172569
1141466,1.32816255092621,1.01962494850159,0.62303751707077,0,0,1615.78907426316,358.480003933423
1141626,0,0,0,0,0,91.0916851645744,20.2096598969702
1141739,0,0,0,0,0,25.4484475644317,5.6460089551956
1141834,1.4250625371933,1.1273375749588,0.747587502002716,0,0,327.47243628097,72.6532454736542
1141859,0,0,0,0,0,14.616320119999,3.24278618884636
1141995,1.31036245822907,1.0020546913147,0.605014085769653,0,0,485.397682083051,107.690642147557
1142005,0,0,0,0,0,13.889350326563,3.0815002025989
1142022,0.558499991893768,0.250400006771088,0,0,0,35.1850303154621,7.80617347077703
1142069,0,0,0,0,0,20.1382332228796,4.46788138373951
1142194,1.5121077299118,1.20294058322907,0.802762508392334,0,0,40.3217221038147,8.94580321690165
1142235,0,0,0,0,0,24.9853601912512,5.54326809254001
1142340,1.24395000934601,0.939750015735626,0.540825009346008,0,0,28.2903112444011,6.27650666024924
1142386,1.34038746356964,1.04135000705719,0.658601522445679,0,0,228.182597086113,50.6247378472162
1142405,0,0,0,0,0,2244.62070058953,497.992993264495
1142424,1.53084993362427,1.22063744068146,0.819762468338013,0,0,1561.63665690535,346.465713766074
1142534,0.558499991893768,0.250400006771088,0,0,0,41.041964862946,9.10559673898876
1142566,0.558499991893768,0.250400006771088,0,0,0,52.9708426262249,11.7521452369427
1142588,0,0,0,0,0,58.8331962468054,13.0527707841993
1142649,0,0,0,0,0,398.316919237884,88.3708480577894
1142694,0,0,0,0,0,45.259094863398,10.0412119150223
1142698,0,0,0,0,0,47.6372623866027,10.5688336923026
1142709,1.42683279514313,1.12903904914856,0.748903155326843,0,0,490.408732082574,108.802396925549
1142794,1.38269996643066,1.07218742370606,0.671350002288818,0,0,478.447305234194,106.148627066626
1142805,0,0,0,0,0,57.0490397001586,12.656936664482
1142830,1.28436875343323,0.976467192173004,0.579183638095856,0,0,97.1618082157041,21.5563813038083
1142923,1.11776256561279,0.821824967861176,0.233400002121925,0,0,523.261865591396,116.091214270003
1142949,1.47266256809235,1.16438746452332,0.76586252450943,0,0,1437.80568872242,318.992495467738
1143006,0,0,0,0,0,627.739053440406,139.270590407415
1143008,1.26952505111694,0.966181218624115,0.572356224060059,0,0,769.178695157251,170.650480348878
1143971,2.99471259117126,2.99471259117126,2.77191257476807,1.57831251621246,0,90.2410424373672,31.1503516811752
1143979,3.77679991722107,3.77679991722107,3.55410003662109,2.36050009727478,0,121.451405467178,41.923872888563
1143980,3.58532500267029,3.58532500267029,3.3625373840332,2.16892504692078,0,112.01733992557,38.6673229699567
